,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
95,11/3/2017,340616.2152,2487402.268,2964972.19,2261651.075,1236840.098,1444050.451,745703.6773,1461557.018,933790.2528,2881581.55,0
96,11/4/2017,206975.9297,2588165.985,2931614.279,2330896.063,1238524.647,1441870.826,745879.6926,1455955.663,940151.992,2881879.717,0
97,11/5/2017,204912.3652,2599591.269,2914274.086,2348758.27,1245685.526,1437820.475,747692.2379,1453611.964,941354.0765,2870489.526,0
98,11/6/2017,245548.1803,2520001.29,2930005.467,2373080.072,1248101.697,1436335.948,748649.2137,1449141.854,945331.2391,2870782.335,0
99,11/7/2017,180514.5951,2548610.557,2957071.852,2391968.921,1250025.682,1434924.787,747686.5025,1440366.505,947202.4352,2871380.457,0
100,11/8/2017,234948.7314,2435199.496,3011996.89,2394413.363,1232630.321,1459467.115,745530.2476,1438180.207,949911.3812,2870199.544,0
101,11/9/2017,321156.5737,2381956.218,2931048.77,2431032.291,1248017.58,1447849.532,752018.0678,1438505.769,951969.827,2870685.167,0
102,11/10/2017,858436.7767,2016932.928,2765513.107,2425434.3,1258932.295,1447527.213,750465.5147,1431420.561,954244.0306,2871008.069,0
103,11/11/2017,617484.513,2422427.345,2637125.014,2408922.818,1256411.321,1444682.235,749053.8964,1427712.549,954447.9137,2870947.19,0
104,11/12/2017,726187.6984,2445619.317,2602941.208,2384041.899,1253846.229,1397898.815,746428.3838,1421248.591,952843.7623,2869021.391,0
105,11/13/2017,526693.6046,2718838.515,2587078.106,2353970.095,1252757.811,1386257.778,733382.9176,1411893.753,958280.4851,2871686.73,0
106,11/14/2017,366550.6899,2915982.398,2563118.692,2359225.128,1244315.743,1387892.141,726173.5092,1409307.639,959772.4878,2870201.366,0
107,11/15/2017,346366.6765,2967657.161,2504790.65,2377814.944,1258459.125,1387818.921,725962.5914,1403229.924,960565.7248,2871986.578,0
108,11/16/2017,293684.4268,3016319.273,2509582.58,2384413.717,1257771.274,1386001.022,725988.3948,1397972.241,961642.0657,2872302.301,0
109,11/17/2017,343404.3489,2973903.997,2455933.516,2429122.839,1263226.839,1385360.237,725679.1063,1394576.875,963333.1913,2873086.346,0
110,11/18/2017,251877.5415,3072032.764,2447750.69,2436530.463,1265768.803,1382901.834,723153.4815,1386761.764,969700.0013,2873224.953,0
111,11/19/2017,245301.3785,3093374.14,2435634.068,2433566.295,1268326.242,1383420.33,720710.2802,1379841.415,977671.6833,2873518.964,0
112,11/20/2017,246724.9581,3111510.913,2424342.048,2435357.247,1272654.741,1377296.991,719250.3335,1373177.3,979932.0472,2872880.717,0
113,11/21/2017,278618.9715,3093885.393,2400065.619,2435618.562,1287871.317,1378209.594,719280.4822,1358215.209,991627.5539,2871647.093,0
114,11/22/2017,275447.5373,3110276.007,2378219.6,2441974.092,1293353.992,1378163.805,719198.5671,1335075.662,1011485.282,2873707.751,0
115,11/23/2017,423403.508,3081868.71,2239680.066,2466817.342,1303227.634,1367524.317,718897.8762,1329352.727,1013603.472,2874539.142,0
116,11/24/2017,294237.6149,3205198.35,2263994.44,2466880.673,1306323.075,1351342.304,715928.332,1326040.253,1015264.346,2875342.907,0
117,11/25/2017,271790.7723,3287500.628,2214656.41,2469363.989,1304377.406,1344607.853,714543.7832,1268226.513,1070670.644,2876651.797,0
118,11/26/2017,190423.2877,3346947.395,2241876.603,2462611.206,1306888.7,1347176.231,713772.4823,1258150.146,1079033.576,2877272.669,0
119,11/27/2017,281967.4006,3282787.512,2203471.223,2477514.043,1312106.177,1347880.311,713016.6751,1252817.561,1078604.235,2875512.159,0
120,11/28/2017,292703.2495,3274127.995,2179723.724,2495779.1,1320238.042,1349351.989,711258.8114,1248256.269,1079803.813,2876246.803,0
121,11/29/2017,322075.8907,3211473.623,2141505.043,2566630.126,1284022.005,1391751.733,709032.1846,1243198.065,1082069.027,2877506.954,0
122,11/30/2017,367647.7596,3157270.978,2159335.155,2556537.428,1292856.803,1387723.014,709672.0164,1238789.258,1082912.15,2878195.09,0
123,12/1/2017,231631.6617,3244568.274,2191373.676,2574221.973,1300370.955,1383030.324,709937.4808,1235359.674,1084537.234,2877758.398,0
124,12/2/2017,159231.4238,3327370.553,2165044.411,2593227.794,1302473.939,1382468.361,708560.4377,1225158.571,1093141.565,2877825.095,0
125,12/3/2017,218369.0576,3235566.669,2187754.82,2608553.525,1303429.801,1380830.444,706979.1969,1221428.155,1066803.988,2906573.995,0
126,12/4/2017,188962.7425,3267827.755,2139119.806,2659176.517,1303268.319,1379136.832,706661.3455,1218404.767,1068563.066,2906943.502,0
127,12/5/2017,323607.51,3151702.031,2052590.922,2723318.582,1311397.476,1376148.67,707790.1272,1212938.663,1073118.092,2907302.578,0
128,12/6/2017,443786.6595,3157244.683,1985734.653,2710846.839,1314512.094,1379168.659,703929.8074,1204147.703,1034776.057,2907717.496,0
129,12/7/2017,357188.4182,3227020.759,2003978.626,2706637.512,1322505.26,1377838.838,702320.663,1195288.207,1042208.792,2907827.574,0
130,12/8/2017,468112.2163,3196096.084,1936476.981,2698792.324,1324104.519,1376673.816,701981.5154,1190490.892,1045915.991,2906332.812,0
131,12/9/2017,240020.5094,3397639.779,1941444.268,2720025.806,1328877.911,1376232.071,700542.1348,1188506.418,1044867.341,2908670.914,0
132,12/10/2017,205584.1321,3056838.276,2321960.239,2707867.304,1338565.87,1376841.814,699662.8192,1179653.501,1052288.136,2909190.06,0
133,12/11/2017,205016.8363,2980715.631,2398689.58,2702258.98,1348529.679,1374615.015,698503.6913,1176560.663,1055565.98,2909821.096,0
134,12/12/2017,264500.1022,2682226.818,2648999.304,2670074.615,1382833.235,1374109.859,698819.9939,1171100.657,1059254.888,2900157.677,0
135,12/13/2017,361592.6989,2506694.327,2732062.386,2644396.835,1403882.849,1377626.048,699502.5468,1168608.322,1058375.805,2901310.335,0
136,12/14/2017,429288.4566,2408761.149,2788736.632,2634179.151,1408280.982,1361318.895,697848.7132,1166910.219,1058035.1,2902580.354,0
137,12/15/2017,326923.1687,2466750.51,2825629.058,2641325.369,1409699.727,1364660.14,693793.8563,1163092.445,1062014.267,2903751.105,0
138,12/16/2017,212678.7999,2551105.1,2867536.686,2632365.529,1412936.346,1361073.565,692816.1655,1159356.304,1059405.197,2909915.954,0
139,12/17/2017,162790.2023,2595256.99,2907554.827,2616437.594,1414700.449,1361185.399,689511.3782,1146373.589,1028469.965,2938771.754,0
140,12/18/2017,294718.943,2446850.064,2962935.1,2575454.589,1429824.799,1353487.564,687569.995,1143291.276,1030188.068,2938919.249,0
141,12/19/2017,385566.3468,2376738.146,2936175.018,2579885.754,1437372.849,1353871.783,686996.7753,1134627.869,1034710.528,2939182.077,0
142,12/20/2017,729766.058,2180305.619,2864915.881,2561891.066,1441669.974,1319940.154,677898.1988,1125446.302,1028718.66,2936612.735,0
143,12/21/2017,383834.9349,2515883.11,2889417.231,2545052.78,1450901.627,1318680.753,677344.7313,1122510.854,1027912.965,2937263.16,0
144,12/22/2017,357208.505,2525069.996,2903579.079,2547914.837,1456782.936,1322670.963,676314.0904,1116022.053,1027082.277,2937732.41,0
145,12/23/2017,349262.9057,2437149.067,2987979.779,2552617.909,1462910.968,1326973.113,676148.9304,1115025.488,1026743.299,2937553.187,0
146,12/24/2017,187256.002,2545162.01,3006497.615,2586990.757,1464757.728,1328316.862,676342.9811,1111880.907,1028476.163,2938671.122,0
147,12/25/2017,184148.0303,2499659.684,3050363.229,2592322.953,1471265.493,1329220.217,671631.0996,1109421.232,1028966.34,2938916.37,0
148,12/26/2017,186726.7547,2498093.048,3043385.762,2594445.601,1475364.206,1331414.11,672149.075,1100895.638,1034588.214,2940639.738,0
149,12/27/2017,315942.9713,2426685.656,3020264.711,2582238.856,1457655.169,1330547.155,669667.4841,1101336.305,1033537.879,2941600.961,0
150,12/28/2017,265660.5297,2466151.568,3043524.77,2565055.888,1463992.342,1330709.709,670502.7076,1091000.819,1041986.304,2942730.01,0
151,12/29/2017,245934.9101,2461836.9,3071895.6,2544542.886,1484074.671,1330115.015,668382.9293,1087159.29,1045884.141,2943175.805,0
152,12/30/2017,202883.1161,2492523.653,3127177.811,2519437.889,1469391.92,1331440.845,667954.7438,1079408.219,1052978.478,2941780.472,0
153,12/31/2017,236604.892,2509343.98,3012388.697,2573717.32,1474403.739,1341420.713,667481.9491,1078020.805,1051155.285,2942214.767,0
154,1/1/2018,193246.8496,2582391.985,2999557.185,2542444.656,1491848.841,1343372.409,666949.7701,1076381.778,1052337.322,2939858.852,0
155,1/2/2018,174811.03,2582091.51,3021199.356,2537091.268,1498754.341,1344461.787,666594.5346,1071958.363,1053237.177,2940177.78,0
156,1/3/2018,253745.9128,2533542.229,3009057.39,2519003.175,1490614.725,1355088.729,667668.9587,1065272.931,1050423.904,2947609.191,0
157,1/4/2018,251783.5598,2551254.583,3010386.396,2489918.707,1505283.495,1357022.099,667367.0762,1057305.033,1054815.684,2948715.513,0
158,1/5/2018,214242.7085,2492958.073,3112915.171,2473350.275,1513504.333,1361365.029,656408.0518,1060298.199,1060454.977,2950030.33,0
159,1/6/2018,178006.9909,2483585.236,3131427.979,2491932.551,1522171.21,1363301.562,655039.8521,1055333.745,1066370.236,2950270.285,0
160,1/7/2018,160742.6455,2384762.476,3213665.4,2515450.376,1535908.968,1364459.402,647283.4897,1059381.192,1066464.637,2951158.561,0
161,1/8/2018,205736.0782,2308145.132,3236829.495,2515358.171,1544967.546,1366290.69,646706.5709,1058272.347,1067048.131,2951497.986,0
162,1/9/2018,228050.8824,2289197.056,3230860.08,2511037.09,1553423.04,1367978.982,641713.8649,1061037.373,1067867.909,2951585.869,0
163,1/10/2018,244909.2853,2283375.072,3197799.264,2528838.364,1559641.61,1369776.125,640913.9457,1052717.963,1074752.026,2952003.492,0
164,1/11/2018,308908.8029,2240753.735,3172582.295,2534303.057,1557914.9,1371527.159,641193.0151,1050304.785,1076887.54,2952264.358,0
165,1/12/2018,399889.9658,2197872.155,3159954.774,2494059.385,1561741.947,1373978.083,638502.0975,1052579.345,1076454.603,2953294.791,0
166,1/13/2018,346725.9534,2206497.599,3181021.263,2514871.972,1555246.428,1385649.294,635092.8033,1052835.979,1078538.014,2953735.341,0
167,1/14/2018,225983.557,2315053.276,3194361.04,2511139.863,1560193.952,1386470.492,632059.9091,1055937.449,1077390.182,2953512.427,0
168,1/15/2018,296993.4276,2256183.025,3167635.723,2527100.381,1558930.452,1389342.771,628594.0107,1054543.309,1080719.218,2953634.83,0
169,1/16/2018,289693.0228,2257058.59,3148006.952,2551032.337,1565606.822,1388436.283,626255.8212,1052691.973,1081586.567,2955083.779,0
170,1/17/2018,306754.936,2223240.087,3169501.561,2545296.134,1577724.138,1388809.102,625035.6143,1044576.989,1080519.691,2955781.395,0
171,1/18/2018,324478.2858,2134955.084,3230947.176,2545499.781,1587308.917,1390232.218,622339.7058,1043616.975,1083563.019,2956198.485,0
172,1/19/2018,175742.0172,2094299.185,3408872.73,2544366.859,1601736.867,1390573.977,621327.4259,1042775.778,1084685.805,2956646.502,0
173,1/20/2018,152251.7368,2060274.552,3447129.504,2554954.981,1611843.511,1390951.855,619363.7308,1044002.382,1084667.705,2957174.689,0
174,1/21/2018,101935.2884,2065435.784,3490913.969,2553179.19,1616340.497,1392321.955,616085.3275,1045656.516,1079599.431,2962946.689,0
175,1/22/2018,187169.642,1954212.573,3512109.514,2550772.968,1609709.841,1401636.471,622773.5436,1043503.764,1080685.497,2963678.332,0
176,1/23/2018,167865.8645,1972232.391,3514720.497,2542236.671,1618274.729,1402063.015,622148.2631,1043386.63,1080910.681,2964450.903,0
177,1/24/2018,206717.6006,1918255.67,3519547.939,2541506.334,1631215.622,1404094.908,621091.747,1043897.544,1078617.961,2964931.822,0
178,1/25/2018,177069.659,1953504.621,3497463.554,2542043.917,1650677.687,1403941.101,615514.2245,1046742.981,1078792.735,2966039.168,0
179,1/26/2018,197730.5544,1816712.57,3585889.56,2536648.588,1682436.98,1406483.984,615401.6104,1043276.13,1082295.286,2966701.885,0
180,1/27/2018,77922.60687,1872998.106,3635032.318,2514820.911,1722098.596,1407051.847,614472.2497,1042320.284,1081768.743,2966916.485,0
181,1/28/2018,163614.3323,1838781.374,3559244.951,2451472.749,1811501.213,1407203.679,612770.5534,1041657.459,1083376.868,2967566.469,0
182,1/29/2018,221918.7517,1764070.973,3517628.696,2415556.573,1893099.861,1420135.969,613585.2644,1038830.943,1085403.575,2968796.542,0
183,1/30/2018,177344.7996,1741552.727,3579472.109,2371097.482,1945917.086,1419541.035,613803.1032,1038011.098,1084091.016,2970134.19,0
184,1/31/2018,240892.1989,1670121.361,3538215.721,2429368.299,1944848.4,1420493.034,613863.2018,1030928.55,1082091.688,2971617.193,0
185,2/1/2018,213883.9512,1685444.577,3534329.288,2445185.116,1947300.046,1422593.357,612726.8736,1030793.22,1081136.738,2971058.981,0
186,2/2/2018,257760.8096,1617142.913,3544642.397,2309465.757,2097983.839,1423445.083,611226.6258,1032120.403,1079984.004,2972305.316,0
187,2/3/2018,142404.1191,1711427.732,3539105.29,2302424.503,2132397.37,1423959.779,610591.5848,1031948.549,1079949.03,2973594.188,0
188,2/4/2018,171495.1891,1685496.118,3533601.091,2295666.038,2140255.931,1426754.676,609389.579,982473.8114,1129138.31,2975418.902,0
189,2/5/2018,230922.2673,1683487.985,3540096.428,2281450.963,2144717.528,1428846.635,608906.1201,962613.1643,1128183.995,2942139.562,0
190,2/6/2018,235506.1522,1720049.498,3461798.827,2316352.051,2151643.012,1428309.909,607807.1208,958733.3389,1128405.085,2944697.153,0
191,2/7/2018,146988.8833,1808700.192,3442299.665,2328681.624,2151348.255,1436821.931,608081.7425,957584.6139,1128644.075,2945976.166,0
192,2/8/2018,169262.0763,1779145.435,3423107.258,2320977.174,2188403.144,1437243.044,608729.3249,955347.1911,1128345.032,2946617.467,0
193,2/9/2018,218489.924,1727028.058,3077762.705,2677221.392,2186747.176,1433276.896,607506.172,954746.7051,1129032.884,2946940.236,0
194,2/10/2018,168341.1024,1764509.511,3034472.391,2716380.97,2200581.613,1437490.593,606403.7614,954304.2773,1130385.77,2947819.658,0
195,2/11/2018,128942.0305,1751747.148,2864336.695,2941293.702,2201530.472,1434519.084,606191.1645,952233.6976,1133067.698,2948590.456,0
