,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
113,2017/11/21,1519534.811,1517622.311,8.93816706,1319140.304,139187.3127,44480.18293,6382.587127,2263.702661,726.3701843,556.9220251,2218.449903,302.5024606,2363.976976,0
114,2017/11/22,1558862.234,1556999.734,5.202935812,1363879.427,153497.6915,22793.22435,10286.62485,1693.892279,2788.536886,484.7176784,1107.165375,133.5678536,334.8855109,0
115,2017/11/23,1517297.532,1515285.032,15.4760242,1186990.807,194697.8339,87194.80526,26170.09567,2693.442466,13485.05066,340.7286115,1430.884527,2136.410481,144.9743695,0
116,2017/11/24,1120570.972,1118933.472,18.99902802,923694.9103,151012.0017,6071.588671,8902.595191,1426.253044,22706.32953,1188.468668,3357.841535,545.0537951,28.42962892,0
117,2017/11/25,759450.9925,757613.4925,22.96696388,578411.0561,87067.98191,61090.1677,14262.77339,1407.647958,11604.68831,868.8830856,1880.734742,760.1562988,259.4029834,0
118,2017/11/26,733369.2483,731606.7483,11.12971842,613389.6374,96298.69409,7855.491506,6017.060935,2166.023282,2531.550007,689.1766602,978.4269269,1652.048269,28.63923616,0
119,2017/11/27,1410103.047,1408578.047,15.83385734,1197442.814,153644.3461,31560.34478,10265.99315,6154.184465,685.1551447,574.0709954,538.1089991,5215.250831,2497.77809,0
120,2017/11/28,1684284.18,1682471.68,6.924569137,1480638.306,168520.3275,18348.08294,6495.532939,2663.400686,666.5167621,729.4466185,1420.974965,2847.591979,141.4997695,0
121,2017/11/29,1650030.621,1648255.765,7.630185652,1442404.348,160259.7912,22122.73083,13828.26775,2459.457835,2486.199202,1618.931733,1311.142367,1500.751143,264.1443969,0
122,2017/11/30,1370173.443,1368498.443,11.37893976,1164527.796,150327.873,4254.813612,33555.68276,5785.516581,5974.362287,763.5712898,1581.851252,1415.757666,311.2187956,0
123,2017/12/1,883060.505,881210.505,11.01616128,708962.5406,149414.5405,4237.253185,8958.002651,1804.977168,4271.795665,501.3365008,685.4996738,1767.578737,606.9803214,0
124,2017/12/2,755426.397,753713.897,11.93556683,660097.0261,49976.09989,27929.96882,7774.764283,2204.503726,1645.489563,744.1179609,2379.304257,617.6660156,344.9564621,0
125,2017/12/3,1129141.3,1127353.8,8.836386231,969342.8383,136151.9083,4270.120137,4967.141481,5338.25505,3648.89483,512.5956545,2211.476967,270.8840874,639.6853114,0
126,2017/12/4,1093453.289,1091678.289,8.609361252,969769.969,76457.17481,20706.22952,12859.54399,7705.654043,1930.96848,401.7386401,385.6332161,1038.558019,422.8192314,0
127,2017/12/5,1247899.824,1246049.824,7.197289742,1001370.299,204177.4688,11830.53069,23002.12874,1036.848538,2747.145489,290.747874,641.1366553,852.2640638,101.2536044,0
128,2017/12/6,1642336.941,1640386.941,59.23399715,1368276.003,128948.8216,29367.2554,56908.72514,1757.559408,3691.484495,3693.622689,1171.546267,46392.88577,179.0368123,0
129,2017/12/7,1250012.329,1249062.329,10.0109984,1048540.487,158527.9273,15475.54465,15278.08322,2443.423688,4471.766994,1597.286304,1407.223896,1055.378532,265.2069992,0
130,2017/12/8,9526955.829,9524793.329,2.12593671,9202444.195,206860.4943,85258.0741,18383.4771,4759.590974,2683.227196,612.1706446,1146.46612,685.9894731,1959.644609,0
131,2017/12/9,1702578.02,1700728.02,4.683029841,1585505.928,92771.14327,10032.088,4964.378285,1663.356216,2464.882687,1274.654035,979.4855956,977.1410555,94.9631838,0
132,2017/12/10,1235818.16,1234193.16,4.968345122,1120305.133,97426.81851,3698.566714,8362.134004,947.9546588,618.7180545,698.9750509,1116.445992,533.6692533,484.7445482,0
133,2017/12/11,894393.3104,892568.3104,7.091041619,762523.7933,110871.2031,5572.885216,7335.835594,1903.039953,1917.210068,705.9108472,1255.404696,341.990674,141.0369447,0
134,2017/12/12,1274097.634,1272297.634,26.6444196,1122430.531,114793.9688,7372.622197,11666.85549,1721.809253,1371.225561,473.3586903,718.5305299,1239.636352,10509.09555,0
135,2017/12/13,1745491.538,1743516.538,6.156526291,1497751.701,214752.2293,10666.98923,10725.99331,3946.802403,1714.782059,456.8503134,1944.38282,1205.087989,351.7194659,0
136,2017/12/14,2556585.373,2554697.873,7.780783616,2305169.129,162759.2972,48148.93107,13033.35611,4814.915912,17380.06223,845.5746426,1246.530531,1063.347698,236.7284275,0
137,2017/12/15,1518999.501,1517299.505,5.676203271,1378054.886,98675.04963,22338.58735,10615.77674,2308.443507,1204.146971,3092.2153,402.5429053,453.3048175,154.5518428,0
138,2017/12/16,1064700.799,1063150.799,7.851697485,970825.6314,59568.8541,17265.55107,6356.262982,2299.616736,4434.437322,305.4268242,351.3918875,1728.036934,15.58933126,0
139,2017/12/17,641759.855,639897.355,71.87203935,535948.4959,51340.08841,13114.8192,14228.19732,2609.568575,2117.084699,1672.738623,4779.190737,2507.191543,11579.98,0
140,2017/12/18,1723985.488,1721797.988,8.762820326,1473390.156,193389.2875,12630.71947,26866.48912,3135.326481,8347.167028,790.8234952,2337.019669,681.0224879,229.9762394,0
141,2017/12/19,4551350.481,4549462.981,3.00061085,4306016.084,193159.0207,20957.45855,18384.34241,4424.391392,1449.129703,716.0448239,1973.561874,2173.568147,209.3799377,0
142,2017/12/20,5243312.473,5241274.973,15.52771787,4675902.691,366218.8768,62386.25623,65622.53902,7030.919614,34996.49238,8859.049772,3511.321834,13775.38936,2971.437217,0
143,2017/12/21,1973730.34,1972092.84,6.97480087,1754820.338,174279.7783,16428.22709,12860.55864,5785.822451,2280.799592,1483.188841,2389.76191,1383.679369,380.6849753,0
144,2017/12/22,2118661.121,2117086.121,7.892418314,1881645.164,185236.0441,30831.98889,5783.361835,3469.920064,1179.701675,417.9308065,7049.967803,879.8621439,592.1803323,0
145,2017/12/23,2079067.445,2077079.945,5.341565223,1829618.219,197580.0364,10841.49217,34086.48069,1466.509597,864.0319038,355.0304904,669.226705,1145.34035,453.5778311,0
146,2017/12/24,1135372.961,1133385.461,2.652143898,1041027.697,77763.56419,8263.389877,3312.103602,1715.163458,393.3836517,314.0476242,310.489882,189.2693271,96.35235327,0
147,2017/12/25,991388.6439,989826.1439,9.692215351,884139.3721,81677.77702,6981.243482,7775.696124,1314.905167,842.013694,4892.471507,1027.416795,892.9700056,282.2779838,0
148,2017/12/26,983619.2289,981831.7289,6.739341546,869586.1289,85014.6572,8077.531658,13512.40672,2407.859115,788.8601597,1012.565438,633.0393635,625.0338256,173.6465572,0
149,2017/12/27,1069096.255,1067321.255,17.17869315,837140.9839,122618.8668,49169.96543,23326.70435,27475.54136,4435.949144,286.1439937,1562.660131,1238.575672,65.86432435,0
150,2017/12/28,1118682.089,1116844.589,7.682819804,951448.6143,101510.3961,27298.30824,30683.24207,3227.532174,1247.557377,187.8103522,432.3035717,715.6978627,93.12693866,0
151,2017/12/29,1192625.709,1190938.209,8.05470049,1026574.789,127917.2147,19293.28817,5797.788634,5843.544651,1328.358942,2431.137109,740.4768389,892.9960243,118.6148461,0
152,2017/12/30,737350.1513,735375.1513,26.86720175,599785.6113,74923.3882,7019.216702,8031.632138,40040.17964,2028.519924,377.5968504,644.7031145,942.4405153,1581.862946,0
153,2017/12/31,601877.395,600102.395,24.84852893,428867.7441,80153.58944,44054.98243,39759.39325,3065.265043,452.2954094,783.3439367,668.6829073,2137.960822,159.1376127,0
154,2018/1/1,752635.8242,750998.3242,15.48522969,604430.127,90525.38018,30895.12369,19307.52482,1179.881977,774.9978813,344.2325557,355.1703021,464.227886,2721.657903,0
155,2018/1/2,1077964.031,1075976.531,8.537955544,970493.4636,82201.94523,10778.82619,2725.845618,3644.428884,1679.252741,635.8474342,2676.552589,677.3005376,463.0685069,0
