,-9,-7,-5,-3,-1,1,3,5,7,9,date,newborn,dead,WALE,11
1418,1146370.286,129593.4497,19037.65875,14550.8051,3608.420838,1685.310155,3735.549213,95.16558028,19.39550854,98.98040837,3/19/2020,1320132.521,1318795.021,6.506868299,0
1419,1043002.521,280008.3221,8338.792455,7596.357413,4297.870129,1914.743839,1247.789949,69.0724874,62.89891502,85.52360498,3/20/2020,1347986.391,1346623.891,5.046431121,0
1420,602295.5008,89402.94366,4052.958856,2732.041855,1487.090561,1119.46226,1192.467339,88.19320764,29.32384793,199.8858095,3/21/2020,704149.8682,702599.8682,4.814704533,0
1421,696689.7026,97440.22526,2923.936489,1702.533605,1429.0411,3266.001295,782.1628872,66.46866406,29.79756537,404.9953301,3/22/2020,806322.3648,804734.8648,5.372785588,0
1422,864505.9749,148974.7097,5550.704378,10783.10364,7691.629421,4449.516001,1222.956672,79.6096402,31.99975453,121.8583761,3/23/2020,1044812.063,1043412.063,7.588810645,0
1423,1133287.396,234393.861,13651.77583,5683.734103,5143.453121,1422.005475,671.1978502,88.76837518,24.637455,102.9842261,3/24/2020,1396119.813,1394469.813,3.960870868,0
1424,700882.2516,142617.7625,17042.09104,3388.7878,18758.63667,9922.411125,403.4407943,41.65207985,11.25277998,206.3506937,3/25/2020,894424.6371,893274.6371,13.27464496,0
1425,765412.8427,81113.50617,5913.097535,7624.877626,2679.146811,10730.97884,1046.526865,119.6389619,37.39619984,43.76467776,3/26/2020,876721.7764,874721.7764,8.805047868,0
1426,875341.2923,146204.8531,7594.999728,9267.881999,2507.524087,2033.640085,2935.60608,78.8769728,139.7432041,103.5693173,3/27/2020,1048145.487,1046207.987,6.970184904,0
1427,636519.9003,56316.42602,3818.596089,2216.78386,2923.331098,738.6115716,436.0488247,48.61548755,27.77328626,511.3411595,3/28/2020,705244.9277,703557.4277,5.013457468,0
1428,562725.9486,65765.04763,3280.905602,1045.368065,9466.0598,1843.817275,489.025997,141.1111674,83.6630485,217.4696582,3/29/2020,646945.9169,645058.4169,8.523534698,0
1429,815420.3668,175604.0313,6660.727883,2129.900739,10111.56536,1167.656006,832.878297,85.36116337,7.72384587,41.20750756,3/30/2020,1013898.919,1012061.419,5.720212912,0
1430,851703.4966,173553.5206,16275.51485,2048.455507,2579.183127,1153.633622,689.9699817,41.45476526,225.0439567,120.7439446,3/31/2020,1050378.517,1048391.017,4.32690174,0
1431,767761.72,128186.1722,113482.4161,1658.707722,2261.154144,1697.819497,466.5560977,9.94230318,23.11215179,148.5022331,4/1/2020,1017608.602,1015696.102,7.528710995,0
1432,861585.9418,120763.2323,7936.150427,12734.45607,4348.872096,705.4183547,1630.637032,145.2955915,25.90422451,91.53431414,4/2/2020,1011879.942,1009967.442,6.15632473,0
1433,849141.8845,112412.7092,6627.574118,1430.789321,3805.201862,647.6768368,569.7187576,80.05591995,11.05112597,106.0741027,4/3/2020,976482.7358,974832.7358,3.379320766,0
